"Language", "original", "english", "german", "russian",
"Tanking_00","refuel","refuel","tanken","",
"Checking_00","check Gaspump","check Gaspump","Zapfsäule prüfen","",
"Leftover_00","L left","L left","L übrig","",
"Flip_00","Flip Car","Flip Car","Fahrzeug aufrichten","",
"Siphoning_00","Siphon Fuel","Siphon Fuel","Benzin absaugen","",
"Dismantle_00","Dismantle Wreck","Dismantle Wreck","Wrack zerlegen","",
"SO_Hose_00","Carburetor Hose","Carburetor Hose","Verbrennerschlauch","",
"SO_Hose_01","A generic Rubberhose that is used in Carburetors.","A generic Rubberhose that is used in Carburetors.","Ein Gewöhnlicher Gummischlauch, der in Verbrennermotoren verwendet wird.",""
"SO_Tubes_00","Smaller Tubes","Smaller Tubes","kleinere schläuche","",
"SO_Tubes_01","A collection of small tubes that can be used for transporting fluids from A to B.","A collection of small tubes that can be used for transporting fluids from A to B.","Eine kleine Sammlung schläuche, dazu verwendet Flüssigkeiten von A nach B zu transportieren.",""
"SO_StaleOil_00","Stale Oil","Stale Oil","Altöl","",
"SO_StaleOil_01","A Canister full of Stale Oil, seems to be useless for working Vehicles.","A Canister full of Stale Oil, seems to be useless for working Vehicles.","Ein Kanister mit altem Öl, sieht nicht so aus als ob man das in ein funktionierendes Auto einfüllen sollte.","",
"SO_ElectricalComponents_00","Electrical Components","Electrical Components","Elektronische Komponenten","",
"SO_ElectricalComponents_01","A bunch of wires from a wreck, might come in Handy.","A bunch of wires from a wreck, might come in Handy.","Ein Haufen Kabel aus einer Schrottkiste, könnte sich noch als nützlich erweisen.","",
"SO_Mainboard_00","Unknown Mainboard","Unknown Mainboard","unbekanntes Mainboard","",
"SO_Mainboard_01","A surprisingly well preserved and packaged Mainboard. It seems valuable, but maybe there is another Use Case.","A surprisingly well preserved and packaged Mainboard. It seems valuable, but maybe there is another Use Case.","Ein überraschend gut erhaltenes und verpacktes Mainboard, sieht wertvoll aus, aber vielleicht gibt es noch weitere Anwendungsmöglichkeiten.","",
"SO_BioFuel_00","BioFuel","BioFuel","Bio Diesel","",
"SO_BioFuel_01,"A Canister filled with biological Fuel, Dont put it in a normal Vehicle, maybe modify it first.","A Canister filled with biological Fuel, Dont put it in a normal Vehicle, maybe modify it first.","Ein Kanister gefüllt mit Biologischem Treibstoff, Nicht in ein normales Auto füllen, vielleicht sollte man es vorher modifizieren.","",
"SO_Brew_00","Brew","Brew","Sud","",
"SO_Brew_01","A Bottle filled with A Brew that can be used as a Base for other crafts.","A Bottle filled with A Brew that can be used as a Base for other crafts.","Eine Flasche gefüllt mit einem Sud, welchen man als Basis für andere Herstellungen nutzen kann.","",
"SO_BFCM_00","BioFuelCarburetorModule","BioFuelCarburetorModule","Biodieselverbrennermodul","",
"SO_BFCM_01","A Module to modify a normal Vehicle to use Biofuel instead of regular Gasoline. This process is irreversible for regular vehicles.","A Module to modify a normal Vehicle to use Biofuel instead of regular Gasoline. This process is irreversible for regular vehicles.","Ein Modul zum Umbau eines normalen Verbrennermotors um ihn mit Biodiesel zu betreiben. Dieser Vorgang ist bei normalen Fahrzeugen irreversibel.","",
"","","","","",
"","","","","",
"","","","","",
"","","","","",
"","","","","",
"","","","","",
"","","","","",
"","","","","",
"","","","","",
"","","","","",
"","","","","",
"","","","","",
"","","","","",
"","","","","",
"","","","","",
"","","","","",
"","","","","",

